Year,Make,Model,Security,Hardware Part Number,Is this hardware clonable?
2010,GMC,Savana,PK3,E86-A24,No
2010,GMC,Sierra,PK3,E38-AK8,Yes
2010,GMC,Yukon XL,PK3,Information not available,No
2010,GMC,Yukon Denali,PK3,Information not available,No
2010,GMC,Terrain,PK3,E39-F93S,Yes
2010,GMC,Canyon,PL3,E67-TP1,No
2011,GMC,Acadia,PK3,E69-216,Yes
2011,GMC,Savana,PK3,Information not available,No
2011,GMC,Sierra,PK3,E37,Yes
2011,GMC,Yukon XL,PK3,Information not available,No
2011,GMC,Yukon Denali,PK3,E38-AK8,Yes
2011,GMC,Terrain,PK3,E39-F93S,Yes
2011,GMC,Canyon,PL3,E67-TP1,No
2012,GMC,Acadia,PK3,E39-X94S,Yes
2012,GMC,Savana,PK3,Information not available,No
2012,GMC,Sierra,PK3,E37,Yes
2012,GMC,Yukon XL,PK3,Information not available,No
2012,GMC,Yukon Denali,PK3,Information not available,No
2012,GMC,Terrain,PK3,E39-X94S,Yes
2012,GMC,Canyon,PL3,E67-TP1,No
2013,GMC,Acadia,PK3,E39A-H98S,Yes
2013,GMC,Savana,PK3,E38-AK8,Yes
2013,GMC,Sierra,PK3,E86-A24,No
2013,GMC,Yukon XL,PK3,Information not available,No
2013,GMC,Yukon Denali,PK3,E38-AK8,Yes
2013,GMC,Terrain,PK3,E39A-H98S,Yes
