Year,Make,Model,Security,Hardware Part Number,Is this hardware clonable?
2008,Chevrolet,Impala,PK3,E38-Y2Y,Yes
2008,Chevrolet,Malibu,PK3,E67-TP1,No
2008,Chevrolet,Suburban,PK3,E38-Y2Y,Yes
2008,Chevrolet,Tahoe,PK3,E38-Y2Y,Yes
2008,Chevrolet,Trailblazer,PL2,E67-TP1,No
2008,Chevrolet,Colorado,PL3,E67-TP1,No
2009,Chevrolet,Corvette,KA,E38-Y2Y,Yes
2009,Chevrolet,Uplander,PK3,Information not available,No
2009,Chevrolet,Avalanche,PK3,E38-Y2Y,Yes
2009,Chevrolet,C/K Truck,PK3,Information not available,No
2009,Chevrolet,Cobalt,PK3,E37,Yes
2009,Chevrolet,Equinox,PK3,E38-Y2Y,Yes
2009,Chevrolet,Express,PK3,E38-Y2Y,Yes
2009,Chevrolet,HHR,PK3,E69-326,Yes
2009,Chevrolet,Impala,PK3,E38-Y2Y,Yes
2009,Chevrolet,Malibu,PK3,E38-Y2Y,Yes
2009,Chevrolet,Suburban,PK3,E38-Y2Y,Yes
2009,Chevrolet,Tahoe,PK3,E38-Y2Y,Yes
2009,Chevrolet,Traverse,PK3,E69-216,Yes
2009,Chevrolet,Trailblazer,PL2,E67-TP1,No
2009,Chevrolet,Colorado,PL3,E67-TP1,No
2010,Chevrolet,Corvette,KA,E38-AK8,Yes
2010,Chevrolet,Avalanche,PK3,E38-AK8,Yes
2010,Chevrolet,C/K Truck,PK3,Information not available,No
2010,Chevrolet,Cobalt,PK3,E37,Yes
2010,Chevrolet,Express,PK3,E38-AK8,Yes
2010,Chevrolet,HHR,PK3,E69-326,Yes
2010,Chevrolet,Impala,PK3,E37,Yes
2010,Chevrolet,Malibu,PK3,E37,Yes
2010,Chevrolet,Suburban,PK3,E38-AK8,Yes
2010,Chevrolet,Tahoe,PK3,E38-AK8,Yes
2010,Chevrolet,Traverse,PK3,E69-216,Yes
2010,Chevrolet,Camaro,PK3,E38-AK8,Yes
2010,Chevrolet,Equinox,PK3,E39-F93S,Yes
2010,Chevrolet,Colorado,PL3,E67-TP1,No
2011,Chevrolet,Corvette,KA,E67-TP1,No
2011,Chevrolet,Avalanche,PK3,E38-AK8,Yes
2011,Chevrolet,C/K Truck,PK3,Information not available,No
2011,Chevrolet,Express,PK3,E86-A24,No
2011,Chevrolet,HHR,PK3,E37,Yes
2011,Chevrolet,Impala,PK3,Information not available,No
2011,Chevrolet,Malibu,PK3,E37,Yes
2011,Chevrolet,Suburban,PK3,E38-AK8,Yes
2011,Chevrolet,Tahoe,PK3,E38-AK8,Yes
2011,Chevrolet,Traverse,PK3,E69-216,Yes
2011,Chevrolet,Camaro,PK3,E69-216,Yes
2011,Chevrolet,Equinox,PK3,E39-F93S,Yes
2011,Chevrolet,Cruze,PK3,E78-AB8,Yes
2011,Chevrolet,Volt,PK3,E78-AB8,Yes
2011,Chevrolet,Colorado,PL3,E67-TP1,No
2012,Chevrolet,Corvette,KA,E67-TP1,No
2012,Chevrolet,Avalanche,PK3,E38-AK8,Yes
2012,Chevrolet,C/K Truck,PK3,Information not available,No
2012,Chevrolet,Caprice (Police),PK3,E39-X94S,Yes
2012,Chevrolet,Captiva,PK3,E39-X94S,Yes
2012,Chevrolet,Express,PK3,E86-A24,No
2012,Chevrolet,Impala,PK3,E39-X94S,Yes
2012,Chevrolet,Malibu,PK3,E67-TP1,No
2012,Chevrolet,Suburban,PK3,E38-AK8,Yes
2012,Chevrolet,Tahoe,PK3,E38-AK8,Yes
2012,Chevrolet,Traverse,PK3,E39-X94S,Yes
2012,Chevrolet,Camaro,PK3,E39-X94S,Yes
2012,Chevrolet,Equinox,PK3,E39-X94S,Yes
2012,Chevrolet,Sonic,PK3,E78-AB8,Yes
2012,Chevrolet,Cruze,PK3,E78-AB8,Yes
2012,Chevrolet,Volt,PK3,E78-AB8,Yes
2012,Chevrolet,Colorado,PL3,E67-TP1,No
2013,Chevrolet,Corvette,KA,Information not available,No
2013,Chevrolet,Avalanche,PK3,E38-AK8,Yes
2013,Chevrolet,C/K Truck,PK3,Information not available,No
2013,Chevrolet,Caprice (Police),PK3,E39-X94S,Yes
2013,Chevrolet,Captiva,PK3,E39A-H98S,Yes
2013,Chevrolet,Express,PK3,E86-A24,No
2013,Chevrolet,Impala,PK3,E39-X94S,Yes
2013,Chevrolet,Suburban,PK3,E38-AK8,Yes
2013,Chevrolet,Tahoe,PK3,E38-AK8,Yes
2013,Chevrolet,Traverse,PK3,E39A-H98S,Yes
2013,Chevrolet,Camaro,PK3,E39A-H98S,Yes
2013,Chevrolet,Equinox,PK3,E39A-H98S,Yes
2013,Chevrolet,Malibu,PK3,E39A-H98S,Yes
2013,Chevrolet,Sonic,PK3,E78-AB8,Yes
2013,Chevrolet,Spark,PK3,E83,Yes
2013,Chevrolet,Cruze,PK3,E78-AB8,Yes
2013,Chevrolet,Volt,PK3,E78-AB8,Yes
